Config ID,Loss,Accuracy,Model Params,tflite Size,Loss_1,Loss_2,Loss_3,Loss_4,Loss_5,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5
_8-12-12,0.4637922942638397,0.7660056710243225,1533,9.412,0.4637922942638397,0.4808047413825989,0.45086535811424255,0.4657559096813202,0.4778372347354889,0.7660056710243225,0.7691218256950378,0.7932011485099792,0.776203989982605,0.7308781743049622
_8-12-16,0.5101433217525482,0.7243626236915588,1737,10.228,0.5101433217525482,0.5405832529067993,0.5135865807533264,0.536425769329071,0.4722398519515991,0.7243626236915588,0.7110481858253479,0.7407932281494141,0.7167139053344727,0.7195467352867126
_8-12-24,0.44584280252456665,0.7711048126220703,2145,11.86,0.44584280252456665,0.5327354669570923,0.46303659677505493,0.41491374373435974,0.42092302441596985,0.7711048126220703,0.701133131980896,0.7422096133232117,0.8116147518157959,0.7861189842224121
_8-12-32,0.4066351056098938,0.7974504232406616,2553,13.492,0.4066351056098938,0.5020964741706848,0.42129456996917725,0.3835016191005707,0.40575116872787476,0.7974504232406616,0.7379603385925293,0.7917847037315369,0.8257790207862854,0.7875354290008545
_8-12-64,0.5148038327693939,0.734844195842743,4185,20.02,0.5148038327693939,0.5804646611213684,0.5228639841079712,0.4618965685367584,0.469926655292511,0.734844195842743,0.7167139053344727,0.7379603385925293,0.756373941898346,0.7379603385925293
_8-12-80,0.513661402463913,0.7297450423240661,5001,23.284,0.513661402463913,0.5382550954818726,0.5331277251243591,0.5398022532463074,0.47253137826919556,0.7297450423240661,0.7535410523414612,0.7138810157775879,0.7110481858253479,0.7393767833709717
_8-12-96,0.5083700656890869,0.7354107737541199,5817,26.548,0.5083700656890869,0.5523325204849243,0.5313650965690613,0.5056966543197632,0.4642745852470398,0.7354107737541199,0.7337110638618469,0.7280453443527222,0.7492917776107788,0.7379603385925293
_8-12-128,0.40446738600730897,0.8135977268218995,7449,33.076,0.40446738600730897,0.431567907333374,0.4169551730155945,0.4049147069454193,0.3761399984359741,0.8135977268218995,0.8087818622589111,0.8073654174804688,0.8031161427497864,0.8328611850738525
_8-12-160,0.4907699942588806,0.7379603385925293,9081,39.604,0.4907699942588806,0.5059340000152588,0.5351393222808838,0.4891164302825928,0.4683745801448822,0.7379603385925293,0.7464589476585388,0.7223796248435974,0.7053824067115784,0.7492917776107788
_8-16-12,0.5867051959037781,0.721529746055603,2017,11.348,0.5867051959037781,0.5920959711074829,0.6139489412307739,0.5742858052253723,0.5978748202323914,0.721529746055603,0.720963180065155,0.6968838572502136,0.7322946190834045,0.7053824067115784
_8-16-16,0.44574773907661436,0.7881019830703735,2285,12.42,0.44574773907661436,0.5132682919502258,0.43371012806892395,0.431895911693573,0.43789491057395935,0.7881019830703735,0.7124645709991455,0.8399433493614197,0.779036819934845,0.8059490323066711
_8-16-24,0.5072560906410217,0.7277620434761047,2821,14.564,0.5072560906410217,0.5219234228134155,0.5097966194152832,0.5140377879142761,0.5304888486862183,0.7277620434761047,0.7351274490356445,0.7223796248435974,0.7379603385925293,0.7025495767593384
_8-16-32,0.42066929340362547,0.7892351150512695,3357,16.708,0.42066929340362547,0.4335734248161316,0.43191075325012207,0.40535613894462585,0.4076825678348541,0.7892351150512695,0.8158640265464783,0.7662889361381531,0.7889518141746521,0.7974504232406616
_8-16-64,0.5244975745677948,0.722662889957428,5501,25.284,0.5244975745677948,0.558872401714325,0.5329040884971619,0.49741342663764954,0.5250095725059509,0.722662889957428,0.7280453443527222,0.7252124547958374,0.7266288995742798,0.7152974605560303
_8-16-80,0.5350603044033051,0.7356940507888794,6573,29.572,0.5350603044033051,0.5460914969444275,0.5739399790763855,0.5034397840499878,0.5697528123855591,0.7356940507888794,0.7266288995742798,0.7337110638618469,0.7308781743049622,0.743626058101654
_8-16-96,0.4827443540096283,0.7376770615577698,7645,33.86,0.4827443540096283,0.5364105105400085,0.49243587255477905,0.4630316197872162,0.46105173230171204,0.7376770615577698,0.7252124547958374,0.7393767833709717,0.756373941898346,0.7337110638618469
_8-16-128,0.49459428787231446,0.7419263482093811,9789,42.436,0.49459428787231446,0.48701009154319763,0.5295725464820862,0.5339463949203491,0.47233057022094727,0.7419263482093811,0.7648725509643555,0.7294617295265198,0.7124645709991455,0.7507082223892212
_8-16-160,0.5333690047264099,0.7252124667167663,11933,51.012,0.5333690047264099,0.5533970594406128,0.5775524973869324,0.5109226107597351,0.537371814250946,0.7252124667167663,0.7379603385925293,0.720963180065155,0.7280453443527222,0.7138810157775879
_8-24-12,0.47051177024841306,0.7427762031555176,4329,20.596,0.47051177024841306,0.5819455981254578,0.5223392844200134,0.4513436555862427,0.4656672477722168,0.7427762031555176,0.7096317410469055,0.7322946190834045,0.7294617295265198,0.7167139053344727
_8-24-16,0.4517968952655792,0.7294617533683777,4725,22.18,0.4517968952655792,0.520441472530365,0.4615877866744995,0.44392597675323486,0.4354434311389923,0.7294617533683777,0.720963180065155,0.7195467352867126,0.7124645709991455,0.7152974605560303
_8-24-24,0.42172040343284606,0.7934844136238098,5517,25.348,0.42172040343284606,0.4869944155216217,0.4338127374649048,0.4034664034843445,0.39056646823883057,0.7934844136238098,0.7450425028800964,0.8073654174804688,0.8073654174804688,0.8073654174804688
_8-24-32,0.36379833817481994,0.8212464570999145,6309,28.516,0.36379833817481994,0.46128740906715393,0.3640492558479309,0.37694311141967773,0.349941611289978,0.8212464570999145,0.7634561061859131,0.8356940746307373,0.7832860946655273,0.8328611850738525
_8-24-64,0.47080367207527163,0.7490085005760193,9477,41.188,0.47080367207527163,0.5588422417640686,0.4687630236148834,0.44790592789649963,0.4462500810623169,0.7490085005760193,0.7322946190834045,0.7266288995742798,0.7280453443527222,0.7492917776107788
_8-24-80,0.4496507942676544,0.7628895163536071,11061,47.524,0.4496507942676544,0.5071355104446411,0.44324639439582825,0.46532195806503296,0.4373684227466583,0.7628895163536071,0.7393767833709717,0.7606232166290283,0.7478753328323364,0.7379603385925293
_8-24-96,0.46833707094192506,0.7473087787628174,12645,53.86,0.46833707094192506,0.48739227652549744,0.45105814933776855,0.4684635400772095,0.4603028893470764,0.7473087787628174,0.7691218256950378,0.7549574971199036,0.7124645709991455,0.7337110638618469
_8-24-128,0.49545309543609617,0.7223796010017395,15813,66.532,0.49545309543609617,0.49886035919189453,0.5168993473052979,0.5208142995834351,0.4656166732311249,0.7223796010017395,0.7308781743049622,0.7110481858253479,0.6855524182319641,0.7422096133232117
_8-24-160,0.45710834860801697,0.7439093470573426,18981,79.204,0.45710834860801697,0.4767906963825226,0.47935056686401367,0.47316431999206543,0.4474429488182068,0.7439093470573426,0.7223796248435974,0.7450425028800964,0.7266288995742798,0.7351274490356445
_8-32-16,0.4465628802776337,0.7538243651390075,6269,28.392,0.4465628802776337,0.4916921854019165,0.4498029053211212,0.45650994777679443,0.4436030089855194,0.7538243651390075,0.7379603385925293,0.7521246671676636,0.756373941898346,0.7322946190834045
