Conv1,Conv2,Dense,Loss,Accuracy,Model Params,tflite Size,Loss_1,Loss_2,Loss_3,Loss_4,Loss_5,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5
8.0,12.0,48.0,0.4483576536178589,0.7450424790382385,1533.0,9.36,0.4483576536178589,0.4646086394786834,0.4543172717094421,0.4429294466972351,0.4406176805496216,0.7450424790382385,0.7294617295265198,0.7620396614074707,0.7351274490356445,0.7478753328323364
8,12,48,0.5267942190170288,0.7257790327072143,1533.0,9.392,0.5267942190170288,0.5514917969703674,0.5249786376953125,0.5378497242927551,0.5117147564888,0.7257790327072143,0.7266288995742798,0.7252124547958374,0.7266288995742798,0.7252124547958374
8,12,48,0.4522220492362976,0.7688385248184204,1737.0,10.208,0.4522220492362976,0.4840299189090729,0.4700559377670288,0.4621919095516205,0.4345182776451111,0.7688385248184204,0.7379603385925293,0.7549574971199036,0.756373941898346,0.7875354290008545
8,12,48,0.5318346977233886,0.7252124547958374,2145.0,11.856,0.5318346977233886,0.5618937015533447,0.5473139882087708,0.5269551873207092,0.5203725099563599,0.7252124547958374,0.7252124547958374,0.7252124547958374,0.7252124547958374,0.7252124547958374
8,12,48,0.4833690285682678,0.7504249215126038,2553.0,13.488,0.4833690285682678,0.517866849899292,0.480718195438385,0.4835563898086548,0.4809296727180481,0.7504249215126038,0.7252124547958374,0.7379603385925293,0.7365438938140869,0.7351274490356445
8,12,48,0.45519198179244996,0.7804532647132874,3369.0,16.752,0.45519198179244996,0.46831125020980835,0.45845580101013184,0.4551442563533783,0.43313002586364746,0.7804532647132874,0.7677053809165955,0.7861189842224121,0.7804532647132874,0.7974504232406616
8,12,48,0.5007880210876465,0.7254957437515259,4185.0,20.016,0.5007880210876465,0.5441514849662781,0.4954853355884552,0.49517977237701416,0.484183669090271,0.7254957437515259,0.7252124547958374,0.7266288995742798,0.7266288995742798,0.723796010017395
8,12,48,0.5033481001853943,0.7303116083145141,5001.0,23.28,0.5033481001853943,0.5157106518745422,0.535489022731781,0.49690330028533936,0.4851239025592804,0.7303116083145141,0.7252124547958374,0.7252124547958374,0.7337110638618469,0.7351274490356445
8,12,48,0.5005820155143738,0.7266288995742798,5817.0,26.548,0.5005820155143738,0.5210933685302734,0.5008942484855652,0.4942477345466614,0.495047003030777,0.7266288995742798,0.7252124547958374,0.7266288995742798,0.7280453443527222,0.7266288995742798
8,12,48,0.5085496783256531,0.7280453205108642,7449.0,33.076,0.5085496783256531,0.5318974256515503,0.5365790128707886,0.507519543170929,0.4881896674633026,0.7280453205108642,0.7266288995742798,0.7294617295265198,0.7266288995742798,0.7294617295265198
