Conv1,Conv2,Dense,Loss,Accuracy,Model Params,tflite Size,Loss_1,Loss_2,Loss_3,Loss_4,Loss_5,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5
8,12,12,0.8981305718421936,0.7067988514900208,1585,9.568,0.8981305718421936,0.8961319923400879,0.9047487378120422,0.9209141135215759,0.887633740901947,0.7067988514900208,0.7067988514900208,0.7067988514900208,0.7067988514900208,0.7067988514900208
8,12,16,0.9205867409706116,0.7073654294013977,1805,10.48,0.9205867409706116,0.9605056643486023,0.9606357216835022,0.9361038208007812,0.8726782202720642,0.7073654294013977,0.7067988514900208,0.7067988514900208,0.7067988514900208,0.7082152962684631
8,12,24,0.8732406497001648,0.7067988514900208,2245,12.24,0.8732406497001648,0.8956735134124756,0.9055023789405823,0.8744807839393616,0.8452317714691162,0.7067988514900208,0.7067988514900208,0.7067988514900208,0.7067988514900208,0.7067988514900208
8,12,32,0.8711867928504944,0.7067988514900208,2685,14.0,0.8711867928504944,0.9205849766731262,0.8729917407035828,0.8903905153274536,0.8376291990280151,0.7067988514900208,0.7067988514900208,0.7067988514900208,0.7067988514900208,0.7067988514900208
8,12,48,0.7969540238380433,0.7093484401702881,3565,17.52,0.7969540238380433,0.8513496518135071,0.8345893025398254,0.7902636528015137,0.7612108588218689,0.7093484401702881,0.7067988514900208,0.7082152962684631,0.7096317410469055,0.7096317410469055
8,12,64,0.9142896652221679,0.7082152962684631,4445,21.056,0.9142896652221679,1.0203953981399536,0.9140232801437378,0.8444403409957886,0.8651182651519775,0.7082152962684631,0.7067988514900208,0.7082152962684631,0.7082152962684631,0.7082152962684631
8,12,80,0.8808095932006836,0.7079320073127746,5325,24.576,0.8808095932006836,0.9220802187919617,0.8946460485458374,0.8777166604995728,0.8435572385787964,0.7079320073127746,0.7067988514900208,0.7082152962684631,0.7082152962684631,0.7082152962684631
8,12,96,0.8963613748550415,0.7076487183570862,6205,28.096,0.8963613748550415,0.9295563697814941,0.958480715751648,0.8899878263473511,0.8527173399925232,0.7076487183570862,0.7067988514900208,0.7082152962684631,0.7082152962684631,0.7082152962684631
8,12,128,0.8117663502693176,0.7090651512145996,7965,35.136,0.8117663502693176,0.8466518521308899,0.8140729665756226,0.8170599937438965,0.7987795472145081,0.7090651512145996,0.7067988514900208,0.7082152962684631,0.7067988514900208,0.7096317410469055
8,12,160,0.8319071769714356,0.711614727973938,9725,42.176,0.8319071769714356,0.893328845500946,0.8168275952339172,0.80461186170578,0.7861390113830566,0.711614727973938,0.7067988514900208,0.7124645709991455,0.7138810157775879,0.7138810157775879
8,16,12,0.9657217025756836,0.7067988514900208,2069,11.556,0.9657217025756836,0.9799978733062744,0.9670789837837219,0.9623644948005676,0.9593238830566406,0.7067988514900208,0.7067988514900208,0.7067988514900208,0.7067988514900208,0.7067988514900208
8,16,16,0.9006858944892884,0.7067988514900208,2353,12.692,0.9006858944892884,0.9492258429527283,0.8994235992431641,0.8985780477523804,0.8993872404098511,0.7067988514900208,0.7067988514900208,0.7067988514900208,0.7067988514900208,0.7067988514900208
8,16,24,0.834502351284027,0.7070821404457093,2921,14.964,0.834502351284027,0.8343673348426819,0.8294011354446411,0.8228251338005066,0.8083218336105347,0.7070821404457093,0.7067988514900208,0.7067988514900208,0.7067988514900208,0.7067988514900208
8,16,32,0.8559072017669678,0.7073654294013977,3489,17.236,0.8559072017669678,0.9047753810882568,0.886356770992279,0.8567695021629333,0.81803959608078,0.7073654294013977,0.7067988514900208,0.7067988514900208,0.7067988514900208,0.7082152962684631
8,16,48,0.8424960613250733,0.7076487183570862,4625,21.78,0.8424960613250733,0.8986491560935974,0.8749672174453735,0.8300840854644775,0.8055388927459717,0.7076487183570862,0.7067988514900208,0.7067988514900208,0.7082152962684631,0.7067988514900208
