Conv1,Conv2,Dense,Loss,Accuracy,Model Params,tflite Size,Loss_1,Loss_2,Loss_3,Loss_4,Loss_5,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5
32,48,64,0.177253559,0.94362607,544533,2181.412,0.177253559,0.191214979,0.178064466,0.190004542,0.158021271,0.94362607,0.946175635,0.94192636,0.949008524,0.94759208
32,48,80,0.168653142,0.960056663,674373,2700.772,0.168653142,0.146201387,0.192250416,0.157253876,0.181981459,0.960056663,0.949008524,0.957507074,0.960339963,0.967422068
32,48,96,0.205938238,0.949858367,804213,3220.132,0.205938238,0.218437567,0.178615928,0.199017569,0.19708553,0.949858367,0.930594921,0.951841354,0.951841354,0.954674244
32,48,128,0.15194127,0.959773362,1063893,4258.852,0.15194127,0.16769588,0.129253328,0.158210263,0.153929308,0.959773362,0.953257799,0.956090629,0.957507074,0.970254958
32,48,160,0.190589777,0.932577896,1323573,5297.572,0.190589777,0.279453248,0.203012854,0.134642243,0.148650929,0.932577896,0.885269105,0.923512757,0.961756349,0.957507074
32,64,32,0.247052005,0.92492919,379589,1521.636,0.247052005,0.282927573,0.259417117,0.250715405,0.217028961,0.92492919,0.905099154,0.919263482,0.915014148,0.94192636
32,64,48,1.445559216,0.746458948,552693,2214.052,1.445559216,0.948436618,4.577793598,0.567527294,0.566887259,0.746458948,0.746458948,0.746458948,0.746458948,0.746458948
32,64,64,0.165864378,0.948158634,725797,2906.468,0.165864378,0.154945254,0.156756908,0.221922442,0.128391758,0.948158634,0.946175635,0.940509915,0.937677026,0.961756349
32,64,80,0.174210417,0.958923519,898901,3598.884,0.174210417,0.15142791,0.154292047,0.176543817,0.182181492,0.958923519,0.954674244,0.956090629,0.966005683,0.954674244
32,64,96,0.174885738,0.955524087,1072005,4291.3,0.174885738,0.236593843,0.166082084,0.160859346,0.144295976,0.955524087,0.910764873,0.957507074,0.964589238,0.973087847
32,64,128,0.150999495,0.969121814,1418213,5676.132,0.150999495,0.137020871,0.151374027,0.143115908,0.136916175,0.969121814,0.966005683,0.963172793,0.975920677,0.973087847
32,64,160,0.150590879,0.960906506,1764421,7060.964,0.150590879,0.142841294,0.129016697,0.156321719,0.148806989,0.960906506,0.956090629,0.956090629,0.966005683,0.963172793
32,80,48,0.16273797,0.947875357,690693,2766.052,0.16273797,0.240372077,0.115908526,0.191716805,0.142066926,0.947875357,0.879603386,0.960339963,0.973087847,0.963172793
32,80,64,0.178733349,0.951841366,907061,3631.524,0.178733349,0.227834448,0.193450555,0.17530112,0.139239594,0.951841366,0.909348428,0.954674244,0.949008524,0.971671402
32,80,80,0.145704924,0.968838525,1123429,4496.996,0.145704924,0.114802852,0.122549184,0.148483887,0.182903945,0.968838525,0.966005683,0.967422068,0.974504232,0.957507074
32,80,96,0.213969105,0.929745042,1339797,5362.468,0.213969105,0.252063453,0.204628751,0.229160383,0.182892218,0.929745042,0.915014148,0.924929202,0.922096312,0.94759208
32,80,128,0.177498645,0.950141633,1772533,7093.412,0.177498645,0.208893493,0.163336426,0.172692463,0.173878267,0.950141633,0.934844196,0.95042491,0.946175635,0.961756349
32,80,160,0.165350312,0.944475913,2205269,8824.356,0.165350312,0.179057777,0.206465527,0.132445067,0.149518102,0.944475913,0.936260641,0.937677026,0.95042491,0.956090629
32,96,48,0.191913044,0.940793192,828693,3318.052,0.191913044,0.238182649,0.192054495,0.160470501,0.183679685,0.940793192,0.903682709,0.940509915,0.953257799,0.94475919
32,96,64,0.286783239,0.871954679,1088325,4356.58,0.286783239,0.332113087,0.31389764,0.29655838,0.259247631,0.871954679,0.841359794,0.849858344,0.876770556,0.88385272
32,96,80,0.180639565,0.958356941,1347957,5395.108,0.180639565,0.159702957,0.195636243,0.169706076,0.184839368,0.958356941,0.958923519,0.943342805,0.963172793,0.961756349
32,96,96,0.215011528,0.942492926,1607589,6433.636,0.215011528,0.22735101,0.212947637,0.203729883,0.200271457,0.942492926,0.933427751,0.924929202,0.943342805,0.949008524
32,96,128,0.168956739,0.968271947,2126853,8510.692,0.168956739,0.125609651,0.123751298,0.139964283,0.155380368,0.968271947,0.968838513,0.970254958,0.967422068,0.970254958
32,96,160,0.172589049,0.946458912,2646117,10587.748,0.172589049,0.196671441,0.175657794,0.181485355,0.181588367,0.946458912,0.932011306,0.937677026,0.94192636,0.958923519
48,48,24,0.567500234,0.746458948,545837,2186.684,0.567500234,0.567990363,0.567404509,0.567365706,0.567265213,0.746458948,0.746458948,0.746458948,0.746458948,0.746458948
48,48,32,0.223789161,0.933427763,715205,2864.156,0.223789161,0.242503762,0.225299373,0.210532531,0.210713163,0.933427763,0.917847037,0.923512757,0.953257799,0.934844196
48,48,48,0.167979938,0.956657219,1053941,4219.1,0.167979938,0.159945279,0.179066509,0.202743158,0.152888164,0.956657219,0.95042491,0.951841354,0.957507074,0.957507074
48,48,64,0.230251998,0.93201133,1392677,5574.044,0.230251998,0.226892635,0.246281803,0.209107742,0.224077523,0.93201133,0.927762032,0.916430593,0.933427751,0.940509915
48,48,80,0.199722439,0.945609069,1731413,6928.988,0.199722439,0.196971625,0.222254395,0.210698262,0.191197664,0.945609069,0.94475919,0.929178476,0.949008524,0.954674244
48,48,96,0.256227136,0.908781874,2070149,8283.932,0.256227136,0.567635357,0.193032309,0.190228119,0.160919815,0.908781874,0.708215296,0.949008524,0.954674244,0.963172793
48,48,128,0.239841515,0.935410762,2747621,10993.82,0.239841515,0.282202244,0.267722428,0.167182893,0.256307989,0.935410762,0.907931983,0.912181318,0.946175635,0.95042491
48,48,160,0.204958034,0.949575078,3425093,13703.708,0.204958034,0.1923794,0.198536947,0.185349047,0.197805047,0.949575078,0.929178476,0.94759208,0.956090629,0.954674244
48,64,32,0.567468143,0.746458948,953301,3816.52,0.567468143,0.568015993,0.567339242,0.567233562,0.567358971,0.746458948,0.746458948,0.746458948,0.746458948,0.746458948
48,64,48,0.240609837,0.901416433,1404933,5623.048,0.240609837,0.478315651,0.212207898,0.178350464,0.190794945,0.901416433,0.746458948,0.922096312,0.946175635,0.94475919
48,64,64,0.204315665,0.928895187,1856565,7429.576,0.204315665,0.371753514,0.185056537,0.172977835,0.138508216,0.928895187,0.821529746,0.953257799,0.949008524,0.964589238
48,64,80,0.182967582,0.952691221,2308197,9236.104,0.182967582,0.166251883,0.194078848,0.213962659,0.163649678,0.952691221,0.951841354,0.946175635,0.940509915,0.958923519
48,64,96,0.211106652,0.948158646,2759829,11042.632,0.211106652,0.178237736,0.194528654,0.2031084,0.229563251,0.948158646,0.94192636,0.940509915,0.94759208,0.949008524
48,64,128,0.246278036,0.915297449,3663093,14655.688,0.246278036,0.457286507,0.202453956,0.189622685,0.179921553,0.915297449,0.774787545,0.936260641,0.94475919,0.964589238
48,64,160,0.234968942,0.918413603,4566357,18268.744,0.234968942,0.475223869,0.220645741,0.158635557,0.146133989,0.918413603,0.766288936,0.924929202,0.967422068,0.960339963
48,80,48,0.188407075,0.94532578,1755925,7027.016,0.188407075,0.224616781,0.194300756,0.217645898,0.163856447,0.94532578,0.917847037,0.940509915,0.94192636,0.958923519
48,80,64,0.274746606,0.8977337,2320453,9285.128,0.274746606,0.441831738,0.250896245,0.206644401,0.220484614,0.8977337,0.777620375,0.915014148,0.940509915,0.920679867
48,80,80,0.554581201,0.746458948,2884981,11543.24,0.554581201,0.504671633,0.569265068,0.566806853,0.567050934,0.746458948,0.746458948,0.746458948,0.746458948,0.746458948
48,80,96,0.198064736,0.947592068,3449509,13801.352,0.198064736,0.189247191,0.203391314,0.184145018,0.204101235,0.947592068,0.94192636,0.940509915,0.953257799,0.95042491
48,80,128,0.173632249,0.956090653,4578565,18317.576,0.173632249,0.15718852,0.194160268,0.171324864,0.17698136,0.956090653,0.940509915,0.958923519,0.964589238,0.960339963
48,80,160,0.245381811,0.931444776,5707621,22833.8,0.245381811,0.239823267,0.266687214,0.244447812,0.240207806,0.931444776,0.89235127,0.913597763,0.94192636,0.949008524
48,96,48,0.241327384,0.93201133,2106917,8430.984,0.241327384,0.242250949,0.263926625,0.238921106,0.23632884,0.93201133,0.936260641,0.910764873,0.933427751,0.937677026
48,96,64,0.232772031,0.931728053,2784341,11140.68,0.232772031,0.26550588,0.224212885,0.230426133,0.219045088,0.931728053,0.912181318,0.915014148,0.936260641,0.943342805
48,96,80,0.277814969,0.894617569,3461765,13850.376,0.277814969,0.437754601,0.234434605,0.189693049,0.308061451,0.894617569,0.780453265,0.910764873,0.94192636,0.900849879
48,96,96,0.242473522,0.929461753,4139189,16560.072,0.242473522,0.45037812,0.222317189,0.162724257,0.194032684,0.929461753,0.83144474,0.949008524,0.951841354,0.94759208
48,96,128,0.15717524,0.967138803,5494037,21979.464,0.15717524,0.143907696,0.175316423,0.161354944,0.171063945,0.967138803,0.961756349,0.968838513,0.961756349,0.970254958
48,96,160,0.174364355,0.956940508,6848885,27398.856,0.174364355,0.163133144,0.158827633,0.160903394,0.163565919,0.956940508,0.954674244,0.951841354,0.956090629,0.966005683
