,Conv1,Conv2,Dense,Loss,Accuracy,Model Params,tflite Size,Loss_1,Loss_2,Loss_3,Loss_4,Loss_5,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5
98,12,96,80,0.3661977112293243,0.8314447522163391,141713,570.176,0.3661977112293243,0.425646960735321,0.423306941986084,0.3833518624305725,0.3177555799484253,0.8314447522163391,0.7974504232406616,0.8130311369895935,0.7917847037315369,0.8696883916854858
99,12,96,96,0.1772255972027778,0.9297450423240662,166337,668.672,0.1772255972027778,0.3407004773616791,0.1613145917654037,0.1218891665339469,0.1453415900468826,0.9297450423240662,0.8229461908340454,0.957507073879242,0.9631727933883668,0.9433428049087524
100,12,96,128,0.2350889205932617,0.9067988634109496,215585,865.664,0.2350889205932617,0.4311876595020294,0.2353299111127853,0.2283058315515518,0.133223295211792,0.9067988634109496,0.8186968564987183,0.9107648730278016,0.9206798672676086,0.9532577991485596
101,12,96,160,0.1982898145914077,0.9158640384674072,264833,1062.656,0.1982898145914077,0.2766907513141632,0.2357388734817505,0.1779775023460388,0.1758046746253967,0.9158640384674072,0.8881019949913025,0.8838527202606201,0.9390934705734252,0.9135977625846864
102,16,16,12,0.4122016072273254,0.7592067956924439,9433,41.116,0.4122016072273254,0.4917577803134918,0.4204724431037903,0.4005985558032989,0.399059921503067,0.7592067956924439,0.7266288995742798,0.7351274490356445,0.7577903866767883,0.720963180065155
103,16,16,16,0.4104723811149597,0.7906515598297119,11749,50.38,0.4104723811149597,0.513088047504425,0.4193004965782165,0.362944096326828,0.3789740204811096,0.7906515598297119,0.701133131980896,0.7167139053344727,0.8356940746307373,0.8484418988227844
104,16,16,24,0.4351654767990112,0.7719546675682067,16381,68.908,0.4351654767990112,0.5123194456100464,0.4831863343715668,0.4237582683563232,0.4007136821746826,0.7719546675682067,0.7067988514900208,0.7337110638618469,0.7181302905082703,0.8484418988227844
105,16,16,32,0.3115779787302017,0.8767705440521241,21013,87.436,0.3115779787302017,0.4365458786487579,0.3012224435806274,0.2894026637077331,0.2486942857503891,0.8767705440521241,0.8356940746307373,0.8739376664161682,0.8966005444526672,0.8881019949913025
106,16,16,64,0.2708745032548904,0.8821529865264892,39541,161.548,0.2708745032548904,0.3217963278293609,0.3022931516170501,0.2679093778133392,0.2426706403493881,0.8821529865264892,0.8654391169548035,0.8626062273979187,0.8696883916854858,0.8937677145004272
107,16,16,80,0.3098866283893585,0.8711048245429993,48805,198.604,0.3098866283893585,0.4248954653739929,0.3448785841464996,0.2794724702835083,0.2660851180553436,0.8711048245429993,0.8229461908340454,0.8413597941398621,0.8838527202606201,0.8966005444526672
108,16,16,96,0.3420701563358307,0.8456090688705444,58069,235.66,0.3420701563358307,0.4865560531616211,0.3846544623374939,0.3222101330757141,0.2796222269535064,0.8456090688705444,0.7691218256950378,0.8286119103431702,0.856940507888794,0.8696883916854858
109,16,16,128,0.2593893259763717,0.8909348368644714,76597,309.772,0.2593893259763717,0.5158267617225647,0.2193384617567062,0.1928918063640594,0.1800720989704132,0.8909348368644714,0.7365438938140869,0.922096312046051,0.9164305925369264,0.9475920796394348
110,16,16,160,0.2374185442924499,0.9076487302780152,95125,383.884,0.2374185442924499,0.3510233163833618,0.1880062818527221,0.2142207324504852,0.2128413319587707,0.9076487302780152,0.8371104598045349,0.9433428049087524,0.9206798672676086,0.9235127568244934
111,16,24,12,0.5793934822082519,0.723796033859253,13569,57.6,0.5793934822082519,0.6130291819572449,0.5740484595298767,0.5897684097290039,0.536562979221344,0.723796033859253,0.698300302028656,0.7379603385925293,0.7181302905082703,0.7393767833709717
112,16,24,16,0.4985892593860626,0.7254957675933837,15981,67.248,0.4985892593860626,0.5684354901313782,0.6055502891540527,0.4948911666870117,0.4200680255889892,0.7254957675933837,0.7110481858253479,0.7138810157775879,0.7393767833709717,0.7407932281494141
